px,py,yaw,continuous_lane_id
-105.2286,796.1349,-0.005432159,4.0
-95.2287,796.0808,-0.005371126,4.0
-85.22884,796.0267,-0.005432159,4.0
-75.22899,795.9726,-0.005432159,4.0
-65.22914,795.9185,-0.005432159,4.0
-55.22929,795.8644,-0.005432159,4.0
-45.22943,795.8102,-0.005371126,4.0
-35.22958,795.7562,-0.005432159,4.0
-25.22972,795.702,-0.005371126,4.0
-15.22987,795.6479,-0.005432153,4.0
-5.230017,795.5938,-0.005432156,4.0
4.769837,795.5397,-0.00537112,4.0
14.76969,795.4856,-0.005432153,4.0
24.76954,795.4315,-0.005371126,4.0
34.7694,795.3774,-0.005432159,4.0
44.76925,795.3232,-0.005432159,4.0
54.7691,795.2691,-0.005371126,4.0
64.76896,795.215,-0.005432159,4.0
74.76881,795.1609,-0.005371126,4.0
84.76867,795.1068,-0.005432159,4.0
94.76852,795.0527,-0.005432159,4.0
104.7684,794.9986,-0.005432159,4.0
114.7682,794.9445,-0.005432159,4.0
124.7681,794.8903,-0.005371126,4.0
134.7679,794.8362,-0.005432159,4.0
144.7678,794.7821,-0.005371126,4.0
154.7676,794.728,-0.005432159,4.0
164.7675,794.6739,-0.005432159,4.0
174.7673,794.6198,-0.005371126,4.0
184.7672,794.5657,-0.005432159,4.0
194.7671,794.5115,-0.005371126,4.0
204.7669,794.4575,-0.005432159,4.0
214.7668,794.4033,-0.005432159,4.0
224.7666,794.3492,-0.005371126,4.0
234.7665,794.2951,-0.005432159,4.0
244.7475,794.2336,-0.008972201,4.0
254.7471,794.1439,-0.008972339,4.0
264.7467,794.0541,-0.008972201,4.0
274.7463,793.9643,-0.008972201,4.0
284.7459,793.8745,-0.008972201,4.0
294.7455,793.7847,-0.008972201,4.0
304.7451,793.6949,-0.008972201,4.0
314.7447,793.6052,-0.008972201,4.0
324.7443,793.5154,-0.008972201,4.0
334.7439,793.4256,-0.009033234,4.0
344.7435,793.3358,-0.009033234,4.0
-575.2406,795.1783,-0.005432076,4.0
-565.2408,795.1242,-0.005432076,5.0
-555.2409,795.0701,-0.005371043,5.0
-545.241,795.016,-0.005432076,5.0
-535.2412,794.9619,-0.005432076,5.0
-525.2413,794.9078,-0.005432076,5.0
-515.2415,794.8536,-0.005432076,5.0
-505.2416,794.7995,-0.005371043,5.0
-495.2418,794.7454,-0.005432076,5.0
-485.2419,794.6913,-0.005371043,5.0
-475.2421,794.6372,-0.005432076,5.0
-465.2422,794.5831,-0.005432076,5.0
-455.2424,794.5289,-0.005371043,5.0
-445.2425,794.4749,-0.005432076,5.0
-435.2426,794.4207,-0.005371043,5.0
-425.2428,794.3666,-0.005432076,5.0
-415.243,794.3125,-0.005432076,5.0
-405.2431,794.2584,-0.005371043,5.0
-395.2433,794.2043,-0.005432076,5.0
-385.2434,794.1501,-0.005371043,5.0
-375.2435,794.0961,-0.005432076,5.0
-365.2437,794.0419,-0.005432076,5.0
-355.2438,793.9879,-0.005432076,5.0
-345.244,793.9337,-0.005432076,5.0
-335.2441,793.8796,-0.005371043,5.0
-325.2443,793.8255,-0.005432076,5.0
-315.2444,793.7714,-0.005371043,5.0
-305.2446,793.7173,-0.005432076,5.0
-295.2447,793.6631,-0.005432076,5.0
-285.2448,793.609,-0.005371043,5.0
-275.245,793.5549,-0.005432076,5.0
-265.2451,793.5008,-0.005371043,5.0
-255.2453,793.4467,-0.005432159,5.0
-245.2454,793.3926,-0.005432159,5.0
-235.2456,793.3384,-0.005371126,5.0
-225.2457,793.2844,-0.005432159,5.0
-215.2459,793.2302,-0.005371126,5.0
-205.246,793.1761,-0.005432159,5.0
-195.2462,793.122,-0.005432159,5.0
-185.2463,793.0679,-0.005371126,5.0
-175.2465,793.0138,-0.005432159,5.0
-165.2466,792.9597,-0.005371126,5.0
-155.2468,792.9056,-0.005432159,5.0
-145.2469,792.8514,-0.005432159,5.0
-135.2471,792.7974,-0.005432159,5.0
-125.2472,792.7432,-0.005432159,5.0
-115.2473,792.6891,-0.005371126,5.0
-105.2475,792.635,-0.005432159,5.0
-95.24763,792.5809,-0.005371126,5.0
-85.24779,792.5268,-0.005432159,5.0
-75.24793,792.4727,-0.005432159,5.0
-65.24808,792.4185,-0.005371126,5.0
-55.24822,792.3644,-0.005432159,5.0
-45.24837,792.3103,-0.005371126,5.0
-35.24852,792.2562,-0.005432159,5.0
-25.24866,792.2021,-0.005432159,5.0
-15.24881,792.1479,-0.00537112,5.0
-5.248956,792.0939,-0.005432156,5.0
4.750897,792.0397,-0.005371123,5.0
14.75075,791.9857,-0.005432153,5.0
24.7506,791.9315,-0.005432159,5.0
34.75046,791.8774,-0.005371126,5.0
44.75031,791.8233,-0.005432159,5.0
54.75016,791.7692,-0.005371126,5.0
64.75002,791.7151,-0.005432159,5.0
74.74987,791.6609,-0.005432159,5.0
84.74973,791.6069,-0.005432159,5.0
94.74958,791.5527,-0.005432159,5.0
104.7494,791.4986,-0.005371126,5.0
114.7493,791.4445,-0.005432159,5.0
124.7491,791.3904,-0.005371126,5.0
134.749,791.3363,-0.005432159,5.0
144.7488,791.2822,-0.005432159,5.0
154.7487,791.228,-0.005371126,5.0
164.7486,791.174,-0.005432159,5.0
174.7484,791.1198,-0.005371126,5.0
184.7483,791.0657,-0.005432159,5.0
194.7481,791.0116,-0.005432159,5.0
204.748,790.9575,-0.005371126,5.0
214.7478,790.9034,-0.005432159,5.0
224.7477,790.8492,-0.005371126,5.0
234.7475,790.7952,-0.005432159,5.0
244.7161,790.7338,-0.008972339,5.0
254.7157,790.644,-0.008972339,5.0
264.7153,790.5542,-0.008972201,5.0
274.7149,790.4644,-0.008972201,5.0
284.7145,790.3746,-0.008972201,5.0
294.7141,790.2849,-0.008972201,5.0
304.7137,790.1951,-0.008972201,5.0
314.7133,790.1053,-0.008972201,5.0
324.7129,790.0155,-0.008972201,5.0
334.7125,789.9257,-0.008972201,5.0
344.7121,789.8359,-0.008972201,5.0
277.3962,-21.11243,-4.08496,5.0
271.3282,-13.07183,-4.042669,3.0
264.9256,-5.29509,-4.000344,3.0
258.1998,2.203858,-3.958035,3.0
251.1628,9.411597,-3.915722,3.0
243.8271,16.31522,-3.8734,3.0
236.2061,22.90238,-3.831095,3.0
228.3132,29.16128,-3.788785,3.0
220.1729,35.07814,-3.754202,3.0
211.9913,40.82812,-3.75419,3.0
203.6115,46.45129,-3.697675,3.0
194.8672,51.53264,-3.631826,3.0
185.8076,56.02752,-3.565965,3.0
176.4718,59.91646,-3.500108,3.0
166.9003,63.18259,-3.434256,3.0
157.1346,65.81174,-3.368396,3.0
147.217,67.79253,-3.302542,3.0
137.1906,69.11636,-3.236684,3.0
127.0988,69.77749,-3.170825,3.0
116.9854,69.77306,-3.104971,3.0
106.8942,69.10308,-3.039118,3.0
96.87394,67.79195,-2.978092,3.0
86.95273,65.87502,-2.917368,3.0
77.16612,63.35957,-2.856648,3.0
67.55019,60.25488,-2.795925,3.0
58.1404,56.57238,-2.735204,3.0
48.9714,52.32565,-2.674484,3.0
40.07701,47.53034,-2.613763,3.0
31.49001,42.20412,-2.553041,3.0
23.24205,36.36664,-2.492319,3.0
15.36352,30.0394,-2.4316,3.0
7.883474,23.24573,-2.370883,3.0
0.7197325,16.25398,-2.368063,3.0
-6.434755,9.267325,-2.367886,3.0
-13.48059,2.043986,-2.312723,3.0
-20.11125,-5.572101,-2.255925,3.0
-26.29886,-13.55231,-2.199128,3.0
-32.02349,-21.87091,-2.142328,3.0
-37.26665,-30.50107,-2.08553,3.0
-42.01145,-39.41495,-2.028732,3.0
-46.24258,-48.58381,-1.971937,3.0
-49.94639,-57.97807,-1.915135,3.0
-53.11094,-67.56744,-1.85834,3.0
-55.72602,-77.32099,-1.801538,3.0
-57.78319,-87.20727,-1.744741,3.0
-59.27583,-97.19438,-1.687947,3.0
-60.19912,-107.2501,-1.631147,3.0
-60.55008,-117.3421,-1.574348,3.0
-60.38189,-127.3967,-1.54483,3.0
-60.12224,-137.3933,-1.544831,3.0
